cypressVersion,browserName,browserVersion,osName,resolvedNodeVersion,overallDuration,video,noCommandLog
10.7.0,electron,102.0.5005.148,win32,18.12.1,174510,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,176450,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,175444,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,176623,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,175368,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173008,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173377,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173733,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172145,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172451,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171487,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171503,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171726,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171564,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170762,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170449,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169630,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170781,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169883,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170201,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169619,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170180,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169698,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169285,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168909,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170469,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168144,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169741,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169171,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168500,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168814,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168168,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169207,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168274,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168585,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,167622,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168052,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168113,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,167808,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,167922,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168356,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168442,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169201,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168241,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168312,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168499,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169138,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168849,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,168802,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169529,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169540,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170705,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169984,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170688,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,170742,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,169505,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171530,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172617,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172269,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,173761,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171591,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171889,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171655,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171433,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171176,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172439,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,171034,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172836,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172377,false,0
10.7.0,electron,102.0.5005.148,win32,18.12.1,172381,false,0
